Text Key,Page number,Page Name,Container Name,On screen text,text font size,font style,font attribute
persona_tidy_resident_desc,Results,Persona: Tidy Resident,Persona Description,"You like some parking rules to keep streets neat. You feel everyone should share the costs through taxes, not just drivers.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_tidy_resident_priority_1,Results,Persona: Tidy Resident,Key Priority 1,Clear guidelines,12px - 14px,Open Sans,Normal (400)
persona_tidy_resident_priority_2,Results,Persona: Tidy Resident,Key Priority 2,Shared costs,12px - 14px,Open Sans,Normal (400)
persona_tidy_resident_edmonton_fit,Results,Persona: Tidy Resident,Edmonton Policy Fit,Aligns with standard residential parking guidelines.,12px,Open Sans,Normal (400)
persona_picky_parker_title,Results,Persona: Picky Parker,Persona Title,Picky Parker,14px - 20px,Open Sans,Black (900)
persona_picky_parker_subtitle,Results,Persona: Picky Parker,Persona Subtitle,Clear Rules • User-Fee,12px - 14px,Open Sans,Bold (700)
persona_picky_parker_desc,Results,Persona: Picky Parker,Persona Description,"You like clear parking rules. You prefer that car owners pay for parking, rather than everyone sharing the costs through taxes.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_picky_parker_priority_1,Results,Persona: Picky Parker,Key Priority 1,Clear restrictions,12px - 14px,Open Sans,Normal (400)
persona_picky_parker_priority_2,Results,Persona: Picky Parker,Key Priority 2,User-pay model,12px - 14px,Open Sans,Normal (400)
persona_picky_parker_edmonton_fit,Results,Persona: Picky Parker,Edmonton Policy Fit,Aligns with targeted permit zones.,12px,Open Sans,Normal (400)
persona_safety_parker_title,Results,Persona: Safety Parker,Persona Title,Safety Parker,14px - 20px,Open Sans,Black (900)
persona_safety_parker_subtitle,Results,Persona: Safety Parker,Persona Subtitle,Strict Rules • Strong User-Fee,12px - 14px,Open Sans,Bold (700)
persona_safety_parker_desc,Results,Persona: Safety Parker,Persona Description,"You like strict parking rules to keep streets safe. You strongly believe car owners should pay for their own parking, not everyone.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_safety_parker_priority_1,Results,Persona: Safety Parker,Key Priority 1,Strict safety enforcement,12px - 14px,Open Sans,Normal (400)
persona_safety_parker_priority_2,Results,Persona: Safety Parker,Key Priority 2,Direct user fees,12px - 14px,Open Sans,Normal (400)
persona_safety_parker_edmonton_fit,Results,Persona: Safety Parker,Edmonton Policy Fit,Aligns with high-traffic pedestrian safety corridors.,12px,Open Sans,Normal (400)
persona_rule_resident_title,Results,Persona: Rule Resident,Persona Title,Rule Resident,14px - 20px,Open Sans,Black (900)
persona_rule_resident_subtitle,Results,Persona: Rule Resident,Persona Subtitle,Clear Rules • Shared Costs,12px - 14px,Open Sans,Bold (700)
persona_rule_resident_desc,Results,Persona: Rule Resident,Persona Description,"You like clear parking rules. You think everyone should share the costs through taxes, not just car owners.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_rule_resident_priority_1,Results,Persona: Rule Resident,Key Priority 1,Defined zones,12px - 14px,Open Sans,Normal (400)
persona_rule_resident_priority_2,Results,Persona: Rule Resident,Key Priority 2,Tax-supported maintenance,12px - 14px,Open Sans,Normal (400)
persona_rule_resident_edmonton_fit,Results,Persona: Rule Resident,Edmonton Policy Fit,Aligns with protected residential areas.,12px,Open Sans,Normal (400)
persona_balanced_resident_title,Results,Persona: Balanced Resident,Persona Title,Balanced Resident,14px - 20px,Open Sans,Black (900)
persona_balanced_resident_subtitle,Results,Persona: Balanced Resident,Persona Subtitle,Fair Balance • Shared Costs,12px - 14px,Open Sans,Bold (700)
persona_balanced_resident_desc,Results,Persona: Balanced Resident,Persona Description,"You like a fair balance of parking rules. You slightly prefer that everyone shares the costs through taxes, instead of just drivers.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_balanced_resident_priority_1,Results,Persona: Balanced Resident,Key Priority 1,Balanced access,12px - 14px,Open Sans,Normal (400)
persona_balanced_resident_priority_2,Results,Persona: Balanced Resident,Key Priority 2,Community funding,12px - 14px,Open Sans,Normal (400)
persona_balanced_resident_edmonton_fit,Results,Persona: Balanced Resident,Edmonton Policy Fit,Aligns with flexible neighbourhood parking.,12px,Open Sans,Normal (400)
persona_sensible_parker_title,Results,Persona: Sensible Parker,Persona Title,Sensible Parker,14px - 20px,Open Sans,Black (900)
persona_sensible_parker_subtitle,Results,Persona: Sensible Parker,Persona Subtitle,Fair Balance • User-Fee,12px - 14px,Open Sans,Bold (700)
persona_sensible_parker_desc,Results,Persona: Sensible Parker,Persona Description,"You like a fair balance of parking rules. You prefer that drivers pay for their own parking, instead of everyone sharing the costs.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_sensible_parker_priority_1,Results,Persona: Sensible Parker,Key Priority 1,Balanced enforcement,12px - 14px,Open Sans,Normal (400)
persona_sensible_parker_priority_2,Results,Persona: Sensible Parker,Key Priority 2,Driver-paid infrastructure,12px - 14px,Open Sans,Normal (400)
persona_sensible_parker_edmonton_fit,Results,Persona: Sensible Parker,Edmonton Policy Fit,Aligns with hybrid paid-parking zones.,12px,Open Sans,Normal (400)
persona_fair_parker_title,Results,Persona: Fair Parker,Persona Title,Fair Parker,14px - 20px,Open Sans,Black (900)
persona_fair_parker_subtitle,Results,Persona: Fair Parker,Persona Subtitle,Fair Balance • Strong User-Fee,12px - 14px,Open Sans,Bold (700)
persona_fair_parker_desc,Results,Persona: Fair Parker,Persona Description,"You like a fair balance of parking rules. You strongly feel that drivers should pay for parking, instead of everyone.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_fair_parker_priority_1,Results,Persona: Fair Parker,Key Priority 1,Fair access,12px - 14px,Open Sans,Normal (400)
persona_fair_parker_priority_2,Results,Persona: Fair Parker,Key Priority 2,Full cost-recovery from drivers,12px - 14px,Open Sans,Normal (400)
persona_fair_parker_edmonton_fit,Results,Persona: Fair Parker,Edmonton Policy Fit,Aligns with self-sustaining parking districts.,12px,Open Sans,Normal (400)
persona_easy_neighbor_title,Results,Persona: Easy Neighbor,Persona Title,Easy Neighbor,14px - 20px,Open Sans,Black (900)
persona_easy_neighbor_subtitle,Results,Persona: Easy Neighbor,Persona Subtitle,Fewer Rules • Shared Costs,12px - 14px,Open Sans,Bold (700)
persona_easy_neighbor_desc,Results,Persona: Easy Neighbor,Persona Description,"You like fewer parking rules to make things easy. You prefer that everyone shares the costs through taxes, rather than just drivers.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_easy_neighbor_priority_1,Results,Persona: Easy Neighbor,Key Priority 1,Easy access,12px - 14px,Open Sans,Normal (400)
persona_easy_neighbor_priority_2,Results,Persona: Easy Neighbor,Key Priority 2,Taxpayer funding,12px - 14px,Open Sans,Normal (400)
persona_easy_neighbor_edmonton_fit,Results,Persona: Easy Neighbor,Edmonton Policy Fit,Aligns with open suburban parking.,12px,Open Sans,Normal (400)
persona_chill_neighbour_title,Results,Persona: Chill Neighbour,Persona Title,Chill Neighbour,14px - 20px,Open Sans,Black (900)
persona_chill_neighbour_subtitle,Results,Persona: Chill Neighbour,Persona Subtitle,Few Rules • Shared Costs,12px - 14px,Open Sans,Bold (700)
persona_chill_neighbour_desc,Results,Persona: Chill Neighbour,Persona Description,"You like having few parking rules. You believe everyone should share the costs through taxes, not just car owners.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_chill_neighbour_priority_1,Results,Persona: Chill Neighbour,Key Priority 1,Minimal restrictions,12px - 14px,Open Sans,Normal (400)
persona_chill_neighbour_priority_2,Results,Persona: Chill Neighbour,Key Priority 2,Publicly funded,12px - 14px,Open Sans,Normal (400)
persona_chill_neighbour_edmonton_fit,Results,Persona: Chill Neighbour,Edmonton Policy Fit,Aligns with low-density residential guidelines.,12px,Open Sans,Normal (400)
persona_simple_driver_title,Results,Persona: Simple Driver,Persona Title,Simple Driver,14px - 20px,Open Sans,Black (900)
persona_simple_driver_subtitle,Results,Persona: Simple Driver,Persona Subtitle,Fewer Rules • User-Fee,12px - 14px,Open Sans,Bold (700)
persona_simple_driver_desc,Results,Persona: Simple Driver,Persona Description,"You like fewer parking rules to keep life simple. You slightly prefer that car owners pay for parking, rather than everyone sharing the costs.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_simple_driver_priority_1,Results,Persona: Simple Driver,Key Priority 1,Simple access,12px - 14px,Open Sans,Normal (400)
persona_simple_driver_priority_2,Results,Persona: Simple Driver,Key Priority 2,Light user fees,12px - 14px,Open Sans,Normal (400)
persona_simple_driver_edmonton_fit,Results,Persona: Simple Driver,Edmonton Policy Fit,Aligns with simplified flat-rate zones.,12px,Open Sans,Normal (400)
persona_casual_cruiser_title,Results,Persona: Casual Cruiser,Persona Title,Casual Cruiser,14px - 20px,Open Sans,Black (900)
persona_casual_cruiser_subtitle,Results,Persona: Casual Cruiser,Persona Subtitle,Very Few Rules • Strong User-Fee,12px - 14px,Open Sans,Bold (700)
persona_casual_cruiser_desc,Results,Persona: Casual Cruiser,Persona Description,"You like very few parking rules on our streets. You strongly believe car owners must pay for their own parking, not everyone.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_casual_cruiser_priority_1,Results,Persona: Casual Cruiser,Key Priority 1,Unrestricted access,12px - 14px,Open Sans,Normal (400)
persona_casual_cruiser_priority_2,Results,Persona: Casual Cruiser,Key Priority 2,Direct user payments,12px - 14px,Open Sans,Normal (400)
persona_casual_cruiser_edmonton_fit,Results,Persona: Casual Cruiser,Edmonton Policy Fit,Aligns with unregulated paid public lots.,12px,Open Sans,Normal (400)
persona_happy_neighbor_title,Results,Persona: Happy Neighbor,Persona Title,Happy Neighbor,14px - 20px,Open Sans,Black (900)
persona_happy_neighbor_subtitle,Results,Persona: Happy Neighbor,Persona Subtitle,Almost No Rules • Strong Taxpayer,12px - 14px,Open Sans,Bold (700)
persona_happy_neighbor_desc,Results,Persona: Happy Neighbor,Persona Description,"You want almost no parking rules. You strongly believe everyone should share the costs through taxes, not just drivers.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_happy_neighbor_priority_1,Results,Persona: Happy Neighbor,Key Priority 1,Complete freedom,12px - 14px,Open Sans,Normal (400)
persona_happy_neighbor_priority_2,Results,Persona: Happy Neighbor,Key Priority 2,Fully public funding,12px - 14px,Open Sans,Normal (400)
persona_happy_neighbor_edmonton_fit,Results,Persona: Happy Neighbor,Edmonton Policy Fit,Aligns with historically unregulated rural/suburban edges.,12px,Open Sans,Normal (400)
persona_zen_neighbor_title,Results,Persona: Zen Neighbor,Persona Title,Zen Neighbor,14px - 20px,Open Sans,Black (900)
persona_zen_neighbor_subtitle,Results,Persona: Zen Neighbor,Persona Subtitle,Very Few Rules • Shared Costs,12px - 14px,Open Sans,Bold (700)
persona_zen_neighbor_desc,Results,Persona: Zen Neighbor,Persona Description,"You want very few parking rules for more freedom. You slightly prefer that everyone shares the costs through taxes, not just car owners.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_zen_neighbor_priority_1,Results,Persona: Zen Neighbor,Key Priority 1,High freedom,12px - 14px,Open Sans,Normal (400)
persona_zen_neighbor_priority_2,Results,Persona: Zen Neighbor,Key Priority 2,Shared municipal cost,12px - 14px,Open Sans,Normal (400)
persona_zen_neighbor_edmonton_fit,Results,Persona: Zen Neighbor,Edmonton Policy Fit,Aligns with unenforced open streets.,12px,Open Sans,Normal (400)
persona_happy_driver_title,Results,Persona: Happy Driver,Persona Title,Happy Driver,14px - 20px,Open Sans,Black (900)
persona_happy_driver_subtitle,Results,Persona: Happy Driver,Persona Subtitle,Almost No Rules • User-Fee,12px - 14px,Open Sans,Bold (700)
persona_happy_driver_desc,Results,Persona: Happy Driver,Persona Description,"You want almost no parking rules. You prefer that drivers pay for parking, rather than everyone sharing the costs through taxes.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_happy_driver_priority_1,Results,Persona: Happy Driver,Key Priority 1,No restrictions,12px - 14px,Open Sans,Normal (400)
persona_happy_driver_priority_2,Results,Persona: Happy Driver,Key Priority 2,Flat user fees,12px - 14px,Open Sans,Normal (400)
persona_happy_driver_edmonton_fit,Results,Persona: Happy Driver,Edmonton Policy Fit,Aligns with open flat-rate parking regions.,12px,Open Sans,Normal (400)
persona_free_wheeler_title,Results,Persona: Free Wheeler,Persona Title,Free Wheeler,14px - 20px,Open Sans,Black (900)
persona_free_wheeler_subtitle,Results,Persona: Free Wheeler,Persona Subtitle,Almost No Rules • Strong User-Fee,12px - 14px,Open Sans,Bold (700)
persona_free_wheeler_desc,Results,Persona: Free Wheeler,Persona Description,"You want almost no parking rules so people are free. You strongly believe drivers should pay for their own parking, not everyone.",12px - 16px,Open Sans,"Medium (500), Leading-snug"
persona_free_wheeler_priority_1,Results,Persona: Free Wheeler,Key Priority 1,Absolute freedom,12px - 14px,Open Sans,Normal (400)
persona_free_wheeler_priority_2,Results,Persona: Free Wheeler,Key Priority 2,100% user-funded,12px - 14px,Open Sans,Normal (400)
persona_free_wheeler_edmonton_fit,Results,Persona: Free Wheeler,Edmonton Policy Fit,Aligns with private unregulated toll/parking models.,12px,Open Sans,Normal (400)
